Predictor,Type,N,N_gain,N_loss,Test,OR,95% CI (OR),AUC,P-value,Significant,Chi2
dcb_drug,binary,57,19,38,Logistic Reg,0.20833333333333334,"(4.891, 0.772)",0.6447368421052632,0.018861417031403125,*,
syntax_score,continuous,33,9,24,Logistic Reg,0.8604232699121181,"(6.534, 0.984)",0.7662037037037037,0.028276397373903587,*,
estimated_gfr,continuous,29,10,19,Logistic Reg,0.96523965587794,"(219.970, 1.011)",0.6394736842105263,0.1310707440349779,,
has_hypertension,binary,59,19,40,Logistic Reg,0.43333333333333346,"(1.754, 1.325)",0.6006578947368421,0.14245350213835195,,
has_lesion_preparation,binary,59,19,40,Logistic Reg,0.3040540540540537,"(5.957, 1.525)",0.5677631578947369,0.14791929564023856,,
left_ventricular_ejection_fraction,continuous,34,12,22,Logistic Reg,1.051262961131791,"(2.246, 1.130)",0.6231060606060607,0.17612502678724373,,
has_hyperlipidemia,binary,59,19,40,Logistic Reg,0.4583333333333337,"(2.027, 1.460)",0.5855263157894737,0.1867888996771332,,
is_female,binary,59,19,40,Logistic Reg,2.175824175824175,"(0.748, 7.711)",0.5703947368421053,0.2284990474027655,,
dcb_inflation_max_time,continuous,35,13,22,Logistic Reg,1.03683031941435,"(3.567, 1.104)",0.6083916083916083,0.26131089672737207,,
clinical_presentation,categorical,59,19,40,Chi-square,,,,0.3554983654589506,,3.2441042510121463
planned_dapt_duration,continuous,41,13,28,Logistic Reg,0.8916031030464187,"(6.243, 1.147)",0.5576923076923077,0.3721739945561304,,
dcb_diam_to_vessel,continuous,59,19,40,Logistic Reg,2.199088906816383,"(1.563, 12.742)",0.5703947368421052,0.3793270418689473,,
predilatation_diam_to_vessel,continuous,57,18,39,Logistic Reg,0.5540977551323327,"(7.409, 2.514)",0.5299145299145298,0.4441805639405285,,
p2y12_inhibitor,categorical,50,16,34,Chi-square,,,,0.44727755494054267,,2.6587809036658134
dcb_max_pressure,continuous,49,19,30,Logistic Reg,1.061754075890134,"(2.275, 1.297)",0.49736842105263157,0.5568718536540018,,
has_prior_cabg,binary,59,19,40,Logistic Reg,2.1666666666666674,"(0.807, 36.624)",0.5138157894736841,0.5919885536550764,,
is_cto,binary,59,19,40,Logistic Reg,0.7030303030303031,"(0.965, 2.588)",0.5322368421052631,0.5961415132265705,,
has_diabetes,binary,59,19,40,Logistic Reg,1.3506493506493504,"(0.856, 4.134)",0.5355263157894736,0.5984611743322823,,
age,continuous,59,19,40,Logistic Reg,1.0130632913356543,"(22.557, 1.084)",0.5236842105263158,0.7057563065747285,,
has_prior_pci,binary,59,19,40,Logistic Reg,1.2500000000000007,"(1.275, 4.655)",0.5197368421052632,0.7394039571331064,,
has_previous_mi,binary,59,19,40,Logistic Reg,1.2301587301587305,"(0.849, 4.347)",0.519078947368421,0.7477352824741912,,
is_ostial_lesion,binary,59,19,40,Logistic Reg,1.1000000000000003,"(0.960, 3.288)",0.5118421052631579,0.864538724324721,,
calcification,continuous,34,11,23,Logistic Reg,1.5671305421213304e-07,"(1.217, inf)",0.5869565217391304,0.9962342833163045,,
dcb_lenght_to_vessel,continuous,16,9,7,Logistic Reg,2.3040959458838922e+188,"(inf, inf)",0.8333333333333333,0.9962912801064538,,
