Predictor,Type,N,Test,Coefficient,SE,95% CI,R²,P-value,Significant,Effect
dcb_inflation_max_time,continuous,35,Linear Reg,0.027883860133799218,0.01550197624098845,"(-0.0037, 0.0594)",0.0892890637877024,0.081213890791569,,
dcb_drug,binary,57,Linear Reg,-0.5297202797202796,0.30106268423059895,"(-1.1331, 0.0736)",0.05328859387624352,0.08405362756844477,,
planned_dapt_duration,continuous,41,Linear Reg,-0.06986544432943956,0.05092399037185227,"(-0.1729, 0.0331)",0.046041035489065796,0.17791814142499218,,
estimated_gfr,continuous,29,Linear Reg,-0.014797451904294937,0.010969972833635969,"(-0.0373, 0.0077)",0.06313579479165843,0.188572764988796,,
dcb_diam_to_vessel,continuous,59,Linear Reg,0.4944185198553899,0.40601612949478505,"(-0.3186, 1.3075)",0.025355618828072468,0.2283432177242133,,
has_hyperlipidemia,binary,59,Linear Reg,-0.2953929539295393,0.27492924000033886,"(-0.8459, 0.2551)",0.019850697890456237,0.28715612004467406,,
has_hypertension,binary,59,Linear Reg,-0.2572463768115944,0.2599493438423729,"(-0.7778, 0.2633)",0.01689071463035441,0.3265511008306353,,
syntax_score,continuous,33,Linear Reg,-0.01725650775080434,0.018637307942332402,"(-0.0553, 0.0208)",0.026911029708302836,0.36164422491763404,,
dcb_lenght_to_vessel,continuous,16,Linear Reg,0.5732251284291989,0.6979472016031288,"(-0.9237, 2.0702)",0.04596644469634159,0.4252400522250229,,
has_lesion_preparation,binary,59,Linear Reg,-0.3049450549450553,0.3933458909432929,"(-1.0926, 0.4827)",0.01043430983320015,0.44139097755390344,,
calcification,continuous,34,Linear Reg,-0.1314553990610328,0.19514697754316576,"(-0.5290, 0.2660)",0.013981960773823077,0.5053881059884326,,
age,continuous,59,Linear Reg,0.010230656376689533,0.015658667450373417,"(-0.0211, 0.0416)",0.007433309827329704,0.5161549139959298,,
dcb_max_pressure,continuous,49,Linear Reg,-0.030202689143086492,0.04777063283488913,"(-0.1263, 0.0659)",0.008433218397095654,0.5302913180126967,,
p2y12_inhibitor,categorical,50,ANOVA,,,,,0.6158197719867744,,F=0.60
is_female,binary,59,Linear Reg,-0.1204013377926423,0.3080855623275622,"(-0.7373, 0.4965)",0.0026722861655579244,0.6973983744350088,,
has_prior_pci,binary,59,Linear Reg,0.1158730158730156,0.30016895223222223,"(-0.4852, 0.7170)",0.002607500048930622,0.7009145487697626,,
predilatation_diam_to_vessel,continuous,57,Linear Reg,-0.11609785899030982,0.3284628389524086,"(-0.7744, 0.5422)",0.0022663546186146855,0.7250962840818096,,
clinical_presentation,categorical,59,ANOVA,,,,,0.7342293945269283,,F=0.43
is_cto,binary,59,Linear Reg,0.06666666666666665,0.29351789660332445,"(-0.5211, 0.6544)",0.0009042334566378152,0.8211354648689242,,
has_diabetes,binary,59,Linear Reg,0.045454545454545414,0.26434931268117356,"(-0.4839, 0.5748)",0.0005184396368119737,0.8640868240933051,,
is_ostial_lesion,binary,59,Linear Reg,-0.03125000000000008,0.2566194898701607,"(-0.5451, 0.4826)",0.0002600955610357891,0.9035050213650466,,
has_previous_mi,binary,59,Linear Reg,-0.022222222222222282,0.3005466517205833,"(-0.6241, 0.5796)",9.59035484314752e-05,0.9413175208797913,,
left_ventricular_ejection_fraction,continuous,34,Linear Reg,-0.0010932190870143214,0.016084931607928947,"(-0.0339, 0.0317)",0.00014433222558263292,0.9462360715736847,,
has_prior_cabg,binary,59,Linear Reg,-0.017543859649122726,0.7065586548188337,"(-1.4324, 1.3973)",1.0816189672580023e-05,0.9802772769725103,,
intravascular_imaging,binary,59,Linear Reg,0.0,0.0,"(0.0000, 0.0000)",-2.220446049250313e-16,,,
