Predictor,Type,N,N_gain,N_loss,Test,OR,95% CI (OR),AUC,P-value,Significant,Chi2
dcb_drug,categorical,57,35,22,Chi-square,,,,0.0033967156614742905,**,8.581092203251293
syntax_score,continuous,33,15,18,Logistic Reg,0.9196417503421348,"(7.955, 1.007)",0.6981481481481482,0.06912467824106362,,
acc_aha_classification,continuous,29,19,10,Logistic Reg,0.39196130385020683,"(318.119, 1.141)",0.6789473684210526,0.08588797691655878,,
estimated_gfr,continuous,29,16,13,Logistic Reg,0.9569579641007825,"(1976.293, 1.007)",0.7163461538461539,0.09117618984646024,,
mld_acute_gain,continuous,17,9,8,Logistic Reg,31.68190932761164,"(1.625, 1760.959)",0.6666666666666667,0.09184319577486358,,
is_female,binary,59,35,24,Logistic Reg,2.8000000000000003,"(2.127, 11.522)",0.5803571428571429,0.1537184443017869,,
has_previous_mi,binary,59,35,24,Logistic Reg,0.41379310344827597,"(3.337, 1.404)",0.5809523809523811,0.1569493701779166,,
has_hyperlipidemia,binary,59,35,24,Logistic Reg,0.4453441295546559,"(7.293, 1.479)",0.581547619047619,0.18652637985122034,,
dcb_inflation_max_time,continuous,35,24,11,Logistic Reg,1.0765554979524417,"(22.926, 1.206)",0.5378787878787878,0.2027199965553258,,
age,continuous,59,35,24,Logistic Reg,1.040860299668778,"(8.583, 1.111)",0.5880952380952381,0.22880732204383003,,
planned_dapt_duration,continuous,41,25,16,Logistic Reg,0.8788420014249406,"(22.002, 1.098)",0.615,0.2547597342655682,,
has_prior_pci,binary,59,35,24,Logistic Reg,1.647058823529412,"(2.851, 5.516)",0.5458333333333334,0.4183988590535186,,
clinical_presentation,categorical,59,35,24,Chi-square,,,,0.434045943147752,,2.73658424908425
has_hypertension,binary,59,35,24,Logistic Reg,0.6666666666666664,"(4.422, 1.965)",0.5476190476190477,0.46222576033770557,,
has_lesion_preparation,binary,59,35,24,Logistic Reg,0.5454545454545451,"(12.886, 3.076)",0.5297619047619047,0.49217880912554557,,
left_ventricular_ejection_fraction,continuous,34,20,14,Logistic Reg,0.9790252649255631,"(199.081, 1.044)",0.5571428571428572,0.5203018322345436,,
p2y12_inhibitor,categorical,50,30,20,Chi-square,,,,0.6497893628785616,,1.6425120772946868
predilatation_diam_to_vessel,continuous,57,34,23,Logistic Reg,0.7675377560037756,"(13.830, 3.037)",0.551150895140665,0.7061959010520612,,
dcb_diam_to_vessel,continuous,59,35,24,Logistic Reg,1.3411493598558657,"(7.291, 7.185)",0.5517857142857143,0.7317833423388913,,
dcb_max_pressure,continuous,49,33,16,Logistic Reg,0.969614637838462,"(16.739, 1.192)",0.5653409090909092,0.7693905899585312,,
has_prior_cabg,binary,59,35,24,Logistic Reg,0.6764705882352942,"(2.509, 11.370)",0.506547619047619,0.7860207907152282,,
init_post_mufr,continuous,59,35,24,Logistic Reg,1.0046348974540884,"(175.812, 1.068)",0.49464285714285716,0.8813365493197944,,
has_diabetes,binary,59,35,24,Logistic Reg,0.984848484848485,"(2.827, 2.882)",0.5017857142857143,0.977768031997878,,
intravascular_imaging,categorical,59,35,24,Chi-square,,,,1.0,,0.0
