Predictor,Type,N,N_gain,N_loss,Test,OR,95% CI (OR),AUC,P-value,Significant,Chi2
init_post_mufr,continuous,59,40,19,Logistic Reg,0.8790670035102518,"(449855069.136, 0.962)",0.7467105263157895,0.0051488940000004955,**,
predilatation_diam_to_vessel,continuous,57,40,17,Logistic Reg,16.77468783018441,"(0.904, 137.075)",0.7426470588235294,0.008513090255418269,**,
dcb_diam_to_vessel,continuous,59,40,19,Logistic Reg,9.927501587829134,"(1.589, 76.376)",0.6526315789473685,0.027463823010859662,*,
left_ventricular_ejection_fraction,continuous,34,24,10,Logistic Reg,0.9482466907576641,"(5389.344, 1.025)",0.6479166666666667,0.1811291116304754,,
dcb_inflation_max_time,continuous,35,25,10,Logistic Reg,1.0813364467606226,"(35.931, 1.223)",0.62,0.2143931579045516,,
has_diabetes,binary,59,40,19,Logistic Reg,0.5349794238683129,"(5.578, 1.635)",0.5743421052631579,0.2725860023341682,,
clinical_presentation,categorical,59,40,19,Chi-square,,,,0.28708978893895065,,3.7725961538461528
has_lesion_preparation,binary,59,40,19,Logistic Reg,0.3148148148148148,"(49.837, 2.821)",0.5486842105263158,0.30156751527959325,,
has_previous_mi,binary,59,40,19,Logistic Reg,2.022988505747126,"(3.337, 8.328)",0.5585526315789473,0.3291031568614553,,
p2y12_inhibitor,categorical,50,35,15,Chi-square,,,,0.32996143430690045,,3.4299516908212557
mufr_acute_functional_gain,continuous,16,14,2,Logistic Reg,1.074472348720871,"(14.639, 1.249)",0.7142857142857143,0.3507834275144952,,
estimated_gfr,continuous,29,21,8,Logistic Reg,0.9769051876036521,"(1079.441, 1.030)",0.5863095238095237,0.3893828650863502,,
dcb_lenght_to_vessel,continuous,16,9,7,Logistic Reg,42.82184268161421,"(407.144, 574594.195)",0.5793650793650794,0.4384769560131262,,
dcb_max_pressure,continuous,49,34,15,Logistic Reg,0.9217451516694088,"(30.326, 1.138)",0.5392156862745098,0.44797286019845783,,
has_prior_cabg,binary,59,40,19,Logistic Reg,0.46153846153846134,"(3.787, 7.802)",0.5138157894736842,0.5919885536550763,,
acc_aha_classification,continuous,29,18,11,Logistic Reg,0.8395982368622619,"(19.693, 1.948)",0.5404040404040403,0.6838369237099828,,
mld_acute_gain,continuous,17,14,3,Logistic Reg,1.8383496700322952,"(24.333, 49.911)",0.4285714285714286,0.7177450929485377,,
has_prior_pci,binary,59,40,19,Logistic Reg,0.7999999999999998,"(7.971, 2.979)",0.5197368421052632,0.7394039571331067,,
age,continuous,59,40,19,Logistic Reg,1.0082046848863524,"(133.698, 1.078)",0.4697368421052632,0.8114945949190402,,
has_hypertension,binary,59,40,19,Logistic Reg,0.875,"(5.556, 2.699)",0.5157894736842105,0.8162874319561992,,
syntax_score,continuous,33,26,7,Logistic Reg,0.9926303618083683,"(17.633, 1.092)",0.543956043956044,0.8795272248700005,,
is_female,binary,59,40,19,Logistic Reg,1.088709677419355,"(3.828, 4.114)",0.5072368421052632,0.9002775232284151,,
has_hyperlipidemia,binary,59,40,19,Logistic Reg,1.0769230769230769,"(5.329, 3.506)",0.5078947368421053,0.9020569504318383,,
planned_dapt_duration,continuous,41,29,12,Logistic Reg,0.9939651241673405,"(15.287, 1.259)",0.5100574712643677,0.959986103124833,,
dcb_drug,categorical,57,38,19,Chi-square,,,,1.0,,0.0
intravascular_imaging,categorical,59,40,19,Chi-square,,,,1.0,,0.0
