Predictor,Type,N,Test,Coefficient,SE,95% CI,R²,P-value,Significant,Effect
dcb_inflation_max_time,continuous,35,Linear Reg,0.01804420248638987,0.004582004218674204,"(0.0087, 0.0274)",0.3197041612734144,0.0004009965200349362,***,
dcb_drug,categorical,57,ANOVA,,,,,0.002204051507348657,**,F=10.32
mufr_acute_functional_gain,continuous,16,Linear Reg,0.011718931475029042,0.0031428956670239098,"(0.0050, 0.0185)",0.4982661980467842,0.002246023149717846,**,
mld_acute_gain,continuous,17,Linear Reg,0.7224294086307936,0.2332193233323231,"(0.2253, 1.2195)",0.39012914301208934,0.0073525949117393555,**,
age,continuous,59,Linear Reg,0.011565806950075074,0.005575115563130815,"(0.0004, 0.0227)",0.07020326206113647,0.042555418848423995,*,
syntax_score,continuous,33,Linear Reg,-0.013464828897338414,0.007200143058503384,"(-0.0281, 0.0012)",0.10137612490274084,0.07094237628703631,,
clinical_presentation,categorical,59,ANOVA,,,,,0.11099216436207641,,F=2.10
estimated_gfr,continuous,29,Linear Reg,-0.006479027641576383,0.00398372187380454,"(-0.0147, 0.0017)",0.08922545383012626,0.11548632936807891,,
acc_aha_classification,continuous,29,Linear Reg,-0.1143333333333334,0.07069072727652637,"(-0.2594, 0.0307)",0.08832749690225217,0.11742273298802335,,
is_female,binary,59,Linear Reg,0.15342809364548488,0.11165030943960207,"(-0.0701, 0.3770)",0.03206714471981609,0.17476401280205603,,
has_hyperlipidemia,binary,59,Linear Reg,-0.13800813008130092,0.10050623916665753,"(-0.3393, 0.0633)",0.03201953604165153,0.1750896977635753,,
planned_dapt_duration,continuous,41,Linear Reg,-0.026074966730740765,0.019723720827530693,"(-0.0660, 0.0138)",0.04289104285972445,0.1938665517963871,,
dcb_diam_to_vessel,continuous,59,Linear Reg,0.1784327219894461,0.14943078448242714,"(-0.1208, 0.4777)",0.024404163781797994,0.23739128650154845,,
init_post_mufr,continuous,59,Linear Reg,-0.006291075194359671,0.005441186895212715,"(-0.0172, 0.0046)",0.02291500486354714,0.2524243461521435,,
has_lesion_preparation,binary,59,Linear Reg,-0.15879120879120923,0.1439292495855089,"(-0.4470, 0.1294)",0.020907573061855755,0.27455094036121824,,
dcb_lenght_to_vessel,continuous,16,Linear Reg,0.1714681493130877,0.20283451335033814,"(-0.2636, 0.6065)",0.04856616044432749,0.412125121693073,,
has_previous_mi,binary,59,Linear Reg,-0.07498412698412704,0.11011800331666559,"(-0.2955, 0.1455)",0.008069164298474485,0.49866436055950847,,
has_hypertension,binary,59,Linear Reg,-0.06038647342995192,0.09611121138109885,"(-0.2528, 0.1321)",0.006877949801354921,0.5323183389556221,,
has_prior_cabg,binary,59,Linear Reg,-0.14052631578947378,0.2592501582850029,"(-0.6597, 0.3786)",0.005128253700453778,0.5898975412927017,,
has_prior_pci,binary,59,Linear Reg,-0.0580000000000002,0.11029777674296817,"(-0.2789, 0.1629)",0.004827762160980131,0.6010329377535155,,
left_ventricular_ejection_fraction,continuous,34,Linear Reg,-0.002562416900576147,0.006386444549705394,"(-0.0156, 0.0104)",0.005005551889225357,0.6909194775273826,,
dcb_max_pressure,continuous,49,Linear Reg,-0.004401966686734902,0.016512445193995785,"(-0.0376, 0.0288)",0.001509790463044225,0.7909550167687819,,
predilatation_diam_to_vessel,continuous,57,Linear Reg,-0.030945307543062295,0.12342031070228153,"(-0.2783, 0.2164)",0.0011417145152798902,0.8029563522803065,,
p2y12_inhibitor,categorical,50,ANOVA,,,,,0.9004606358629376,,F=0.19
has_diabetes,binary,59,Linear Reg,0.004582309582309534,0.09726738718277426,"(-0.1902, 0.1994)",3.893521602527095e-05,0.962589880204517,,
