Predictor,Type,N,Test,Coefficient,SE,95% CI,R²,P-value,Significant,Effect
init_post_mufr,continuous,59,Linear Reg,-0.4876380976362093,0.1223390164905715,"(-0.7326, -0.2427)",0.2179767199617234,0.00019333684612676233,***,
predilatation_diam_to_vessel,continuous,57,Linear Reg,9.781931747030036,2.890144308331428,"(3.9900, 15.5739)",0.17237724439120983,0.0013208159048106157,**,
dcb_diam_to_vessel,continuous,59,Linear Reg,11.225508133932372,3.4994060128960993,"(4.2181, 18.2329)",0.1529225750365072,0.002195530659810048,**,
dcb_drug,categorical,57,ANOVA,,,,,0.03531870889107787,*,F=4.66
clinical_presentation,categorical,59,ANOVA,,,,,0.09282086493772769,,F=2.25
left_ventricular_ejection_fraction,continuous,34,Linear Reg,-0.23224996306692264,0.13734353016240422,"(-0.5120, 0.0475)",0.08203012029465162,0.10055293457059225,,
dcb_inflation_max_time,continuous,35,Linear Reg,0.24518566669375147,0.1472362719631048,"(-0.0544, 0.5447)",0.07751831826578826,0.10532955563013652,,
mufr_acute_functional_gain,continuous,16,Linear Reg,0.1245644599303137,0.09249452859054144,"(-0.0738, 0.3229)",0.11468953091370526,0.19946752118253422,,
is_female,binary,59,Linear Reg,3.588628762541804,2.812214259774554,"(-2.0427, 9.2200)",0.027774882874630924,0.20710030209341224,,
p2y12_inhibitor,categorical,50,ANOVA,,,,,0.21811303253453052,,F=1.53
age,continuous,59,Linear Reg,0.14467458960179844,0.14403824377085447,"(-0.1438, 0.4331)",0.017391401749969226,0.3194222321601218,,
has_previous_mi,binary,59,Linear Reg,2.6238095238095225,2.7569049175678306,"(-2.8968, 8.1444)",0.015642247117837793,0.3452559135736195,,
has_lesion_preparation,binary,59,Linear Reg,-3.3241758241758323,3.6290400809624663,"(-10.5912, 3.9429)",0.014506523367857849,0.3635296745062917,,
has_hyperlipidemia,binary,59,Linear Reg,-1.9661246612466146,2.554121783663145,"(-7.0807, 3.1484)",0.010288982960662496,0.44460598928381434,,
planned_dapt_duration,continuous,41,Linear Reg,0.35819902410173055,0.4786420727897427,"(-0.6099, 1.3263)",0.01415696700960034,0.45872950487904307,,
mld_acute_gain,continuous,17,Linear Reg,4.879962665146839,6.557187667299798,"(-9.0964, 18.8563)",0.035608990830219955,0.4682452097606936,,
acc_aha_classification,continuous,29,Linear Reg,-1.2492753623188424,1.9166071493620085,"(-5.1818, 2.6833)",0.015491934663350526,0.5200302897008678,,
has_hypertension,binary,59,Linear Reg,-1.4118357487922744,2.4165957099171314,"(-6.2510, 3.4273)",0.005952407709174046,0.5613740907461968,,
dcb_lenght_to_vessel,continuous,16,Linear Reg,-2.2519492821180673,5.417451372822238,"(-13.8712, 9.3673)",0.012191908939993112,0.6839422840167084,,
dcb_max_pressure,continuous,49,Linear Reg,0.1739915713425646,0.4334806470896454,"(-0.6981, 1.0460)",0.0034161190337989034,0.6899576963000416,,
syntax_score,continuous,33,Linear Reg,-0.062847323778883,0.15945145809356528,"(-0.3881, 0.2624)",0.004986363406992433,0.6961708427657642,,
has_prior_cabg,binary,59,Linear Reg,-2.4385964912280698,6.524264794862865,"(-15.5032, 10.6260)",0.002444999223006228,0.7099596317036282,,
estimated_gfr,continuous,29,Linear Reg,-0.03303116553852057,0.0987846848627555,"(-0.2357, 0.1697)",0.00412391872065121,0.7406798659583568,,
has_prior_pci,binary,59,Linear Reg,-0.6571428571428592,2.7773597489487303,"(-6.2187, 4.9044)",0.000981192269169151,0.8138099033155061,,
has_diabetes,binary,59,Linear Reg,-0.06019656019656083,2.444562060312978,"(-4.9553, 4.8350)",1.0638042967192618e-05,0.980440339706608,,
