Predictor,Type,N,N_gain,N_loss,Test,OR,95% CI (OR),AUC,P-value,Significant,Chi2
clinical_presentation,categorical,59,57,2,Chi-square,,,,7.137113622377662e-08,***,36.098684210526315
dcb_max_pressure,continuous,49,47,2,Logistic Reg,0.6661346123670606,"(396295.627, 1.072)",0.9148936170212767,0.09398441158996244,,
has_lesion_preparation,binary,59,57,2,Logistic Reg,8.500000000000037,"(49.837, 154.174)",0.6973684210526316,0.147797719085135,,
planned_dapt_duration,continuous,41,39,2,Logistic Reg,2.1607447439577903,"(53.719, 6.353)",0.7628205128205128,0.16145742047215983,,
left_ventricular_ejection_fraction,continuous,34,32,2,Logistic Reg,0.8863842391429264,"(62790170930.983, 1.111)",0.734375,0.29609546393874986,,
syntax_score,continuous,33,32,1,Logistic Reg,1.3730540401883677,"(67.375, 2.603)",0.875,0.33139431934904706,,
age,continuous,59,57,2,Logistic Reg,1.0683503589163856,"(77004.615, 1.287)",0.6140350877192983,0.4866547047257611,,
p2y12_inhibitor,categorical,50,48,2,Chi-square,,,,0.962085240625956,,0.28899240855762603
is_cto,binary,59,57,2,Logistic Reg,2995337.513097279,"(86.751, inf)",0.631578947368421,0.9941896578339646,,
has_previous_mi,binary,59,57,2,Logistic Reg,37549834.922514945,"(88.750, inf)",0.6228070175438596,0.9981674479600485,,
predilatation_diam_to_vessel,continuous,57,55,2,Logistic Reg,6.080654610669968e+118,"(inf, inf)",1.0,0.9981941735435799,,
has_hyperlipidemia,binary,59,57,2,Logistic Reg,6.657053118808346e-09,"(inf, inf)",0.6578947368421053,0.9988224087167313,,
is_female,binary,59,57,2,Logistic Reg,3.4380660096929477e-10,"(inf, inf)",0.9035087719298245,0.9990676684537867,,
has_prior_pci,binary,59,57,2,Logistic Reg,1.2363077367847234e-09,"(inf, inf)",0.6228070175438596,0.9995356581594713,,
has_diabetes,binary,59,57,2,Logistic Reg,8.55710830791052e-11,"(inf, inf)",0.8245614035087719,0.9996708829893332,,
calcification,continuous,34,33,1,Logistic Reg,192639933.4101044,"(212.888, inf)",0.5606060606060606,0.9997963601667704,,
dcb_lenght_to_vessel,continuous,16,14,2,Logistic Reg,2.3754362655598413e+239,"(inf, inf)",0.7142857142857143,0.9998666613138563,,
used_opn_balloon,binary,59,57,2,Logistic Reg,1989476052.825721,"(114.737, inf)",0.5087719298245614,0.999927617786239,,
used_scoring_balloon,binary,59,57,2,Logistic Reg,17987701134.31065,"(112.738, inf)",0.5175438596491229,0.9999621172394274,,
has_prior_cabg,binary,59,57,2,Logistic Reg,17987701134.31065,"(112.738, inf)",0.5175438596491229,0.9999621172394274,,
used_cutting_balloon,binary,59,57,2,Logistic Reg,277397939026.27594,"(82.753, inf)",0.6491228070175439,0.9999631937006579,,
used_shockwave,binary,59,57,2,Logistic Reg,38401471762.46802,"(110.739, inf)",0.5263157894736842,0.9999669215231517,,
dcb_drug,binary,57,55,2,Logistic Reg,11993358909506.873,"(24.813, inf)",0.9,0.9999804147449072,,
estimated_gfr,continuous,29,27,2,Logistic Reg,465.4127734373777,"(nan, nan)",1.0,,,
