Predictor,Type,N,N_gain,N_loss,Test,OR,95% CI (OR),AUC,P-value,Significant,Chi2
age,continuous,17,11,6,Logistic Reg,1.222584121938701,"(1.332, 1.486)",0.7272727272727273,0.04335617087101028,*,
has_previous_mi,binary,17,11,6,Logistic Reg,5.999999999999998,"(3.454, 69.754)",0.6893939393939393,0.15228691564929617,,
used_cutting_balloon,binary,17,11,6,Logistic Reg,0.22222222222222235,"(11.081, 2.037)",0.6590909090909092,0.18332570565420125,,
dcb_diam_to_vessel,continuous,17,11,6,Logistic Reg,6.641613933073509,"(14.191, 209.709)",0.6666666666666667,0.2824248067195475,,
syntax_score,continuous,12,8,4,Logistic Reg,1.124804193124155,"(8.598, 1.460)",0.671875,0.3767991364802502,,
has_hyperlipidemia,binary,17,11,6,Logistic Reg,0.35000000000000026,"(35.788, 4.153)",0.5984848484848485,0.4055127705939735,,
predilatation_diam_to_vessel,continuous,17,11,6,Logistic Reg,3.63538210426706,"(63.808, 146.928)",0.5454545454545454,0.49406340730334297,,
clinical_presentation,categorical,17,11,6,Chi-square,,,,0.5123710067960668,,1.3374125874125875
has_diabetes,binary,17,11,6,Logistic Reg,0.5714285714285713,"(9.023, 4.297)",0.5681818181818181,0.5866692445483823,,
is_ostial_lesion,binary,17,11,6,Logistic Reg,0.5714285714285714,"(9.023, 4.297)",0.5681818181818181,0.5866692445483825,,
dcb_drug,binary,15,9,6,Logistic Reg,1.7500000000000004,"(7.099, 17.686)",0.5555555555555556,0.6353766626791483,,
is_cto,binary,17,11,6,Logistic Reg,0.5000000000000001,"(5.851, 9.770)",0.5378787878787878,0.6476367490796391,,
left_ventricular_ejection_fraction,continuous,13,10,3,Logistic Reg,1.0278488671991748,"(626.271, 1.165)",0.6000000000000001,0.6665751950433626,,
p2y12_inhibitor,categorical,17,11,6,Chi-square,,,,0.7484336468067407,,0.5795454545454544
planned_dapt_duration,continuous,13,8,5,Logistic Reg,1.0566430977120136,"(16.005, 1.498)",0.5125,0.7572245281643333,,
is_female,binary,17,11,6,Logistic Reg,0.7500000000000002,"(6.642, 6.468)",0.5303030303030303,0.7935454469879832,,
has_hypertension,binary,17,11,6,Logistic Reg,0.8999999999999996,"(22.056, 12.583)",0.5075757575757577,0.9375975085539874,,
has_prior_pci,binary,17,11,6,Logistic Reg,0.8999999999999999,"(22.056, 12.583)",0.5075757575757577,0.9375975085539876,,
dcb_inflation_max_time,continuous,14,10,4,Logistic Reg,4776.396756913831,"(inf, inf)",1.0,0.9943412015829479,,
dcb_max_pressure,continuous,15,11,4,Logistic Reg,2.5963603541188694e-05,"(inf, inf)",1.0,0.9986442652789456,,
has_lesion_preparation,binary,17,11,6,Logistic Reg,6.952151461513448e-10,"(inf, inf)",0.5454545454545454,0.9996563743906739,,
has_prior_cabg,binary,17,11,6,Logistic Reg,1.9758927271300903e-14,"(6.332, inf)",0.5833333333333333,0.9999947506730762,,
used_opn_balloon,binary,17,11,6,Logistic Reg,13802463251478.676,"(4.586, inf)",0.5454545454545454,0.9999949638595966,,
