Predictor,Type,N,N_gain,N_loss,Test,OR,95% CI (OR),AUC,P-value,Significant,Chi2
predilatation_diam_to_vessel,continuous,57,38,19,Logistic Reg,17.230504005775863,"(0.682, 130.136)",0.7382271468144044,0.0057893211781227475,**,
dcb_diam_to_vessel,continuous,59,38,21,Logistic Reg,14.382453462171883,"(0.926, 111.867)",0.6741854636591479,0.010855940255055485,*,
dcb_inflation_max_time,continuous,35,23,12,Logistic Reg,1.131804022291607,"(15.787, 1.330)",0.713768115942029,0.13250930567319558,,
dcb_max_pressure,continuous,49,32,17,Logistic Reg,0.8522359996403908,"(51.365, 1.056)",0.6084558823529412,0.14306330655628255,,
has_previous_mi,binary,59,38,21,Logistic Reg,2.444444444444442,"(2.723, 10.003)",0.5733082706766918,0.2137603231438534,,
has_diabetes,binary,59,38,21,Logistic Reg,0.5076923076923077,"(4.783, 1.519)",0.5802005012531328,0.22542337448077843,,
has_lesion_preparation,binary,59,38,21,Logistic Reg,0.2666666666666666,"(49.837, 2.381)",0.5551378446115288,0.2367295859328965,,
estimated_gfr,continuous,29,20,9,Logistic Reg,0.9706528897143251,"(1515.484, 1.024)",0.6027777777777779,0.27156414416589936,,
is_female,binary,59,38,21,Logistic Reg,0.5645161290322581,"(3.828, 1.976)",0.5507518796992481,0.37096108118544824,,
clinical_presentation,categorical,59,38,21,Chi-square,,,,0.37188647101252015,,3.130855986119144
left_ventricular_ejection_fraction,continuous,34,23,11,Logistic Reg,0.9690441509447763,"(776.919, 1.040)",0.5909090909090908,0.3810132857409603,,
dcb_drug,binary,57,36,21,Logistic Reg,1.6571428571428573,"(3.471, 5.819)",0.5456349206349207,0.43059204630643666,,
dcb_lenght_to_vessel,continuous,16,9,7,Logistic Reg,42.8218426816147,"(407.144, 574594.195)",0.5793650793650794,0.43847695601311776,,
age,continuous,59,38,21,Logistic Reg,1.026235789876659,"(30.295, 1.096)",0.5075187969924813,0.44219647946170204,,
is_ostial_lesion,binary,59,38,21,Logistic Reg,0.6611570247933884,"(4.646, 1.930)",0.5513784461152882,0.449133202364448,,
has_prior_pci,binary,59,38,21,Logistic Reg,0.6588235294117646,"(7.971, 2.434)",0.5363408521303258,0.5313912869583335,,
p2y12_inhibitor,categorical,50,33,17,Chi-square,,,,0.5407009202337472,,2.155829393681056
used_cutting_balloon,binary,59,38,21,Logistic Reg,0.7142857142857139,"(3.799, 2.277)",0.5350877192982457,0.5695313188431086,,
planned_dapt_duration,continuous,41,27,14,Logistic Reg,0.9443723803102936,"(16.463, 1.182)",0.5489417989417988,0.6171329695967038,,
has_prior_cabg,binary,59,38,21,Logistic Reg,0.5405405405405406,"(3.187, 9.111)",0.5106516290726817,0.6694815486887488,,
is_cto,binary,59,38,21,Logistic Reg,0.7758620689655173,"(3.606, 2.593)",0.5244360902255638,0.680142467938363,,
has_hyperlipidemia,binary,59,38,21,Logistic Reg,1.2272727272727277,"(4.054, 3.863)",0.5219298245614036,0.7262843488961896,,
syntax_score,continuous,33,24,9,Logistic Reg,1.0133197804643526,"(8.384, 1.108)",0.513888888888889,0.7715799657939769,,
calcification,continuous,34,19,15,Logistic Reg,1.0697623642305334,"(2.539, 2.378)",0.4894736842105263,0.8685826855035421,,
has_hypertension,binary,59,38,21,Logistic Reg,0.9435897435897435,"(4.422, 2.820)",0.5068922305764412,0.9172173192040198,,
used_shockwave,binary,59,38,21,Logistic Reg,1.1111111111111116,"(3.109, 13.030)",0.5025062656641603,0.9331523712626544,,
used_opn_balloon,binary,59,38,21,Logistic Reg,32203765903.58144,"(3.010, inf)",0.5131578947368421,0.9999189545820537,,
used_scoring_balloon,binary,59,38,21,Logistic Reg,288940124769.00745,"(2.936, inf)",0.5263157894736842,0.9999576907033592,,
