Predictor,Type,N,N_gain,N_loss,Test,OR,95% CI (OR),AUC,P-value,Significant,Chi2
is_cto,binary,16,14,2,Logistic Reg,0.076923076923077,"(99.375, 2.394)",0.7142857142857143,0.14367377964093467,,
p2y12_inhibitor,categorical,16,14,2,Chi-square,,,,0.23006629899380904,,2.938775510204082
planned_dapt_duration,continuous,12,11,1,Logistic Reg,2.843921590808688,"(174.675, 17.742)",0.9090909090909091,0.2631606513744075,,
dcb_diam_to_vessel,continuous,16,14,2,Logistic Reg,16.313079534132637,"(147.461, 4354.211)",0.7142857142857143,0.32735458192248434,,
age,continuous,16,14,2,Logistic Reg,0.8939032478026016,"(1832532454490.507, 1.121)",0.8571428571428571,0.33197356486504725,,
predilatation_diam_to_vessel,continuous,16,14,2,Logistic Reg,12.540700209327564,"(644.792, 4904.034)",0.5714285714285714,0.4062947987602903,,
left_ventricular_ejection_fraction,continuous,13,12,1,Logistic Reg,1.076588418068536,"(66786.468, 1.386)",0.5833333333333334,0.5672476982702138,,
clinical_presentation,categorical,16,14,2,Chi-square,,,,0.6832104226749481,,0.7619047619047619
has_lesion_preparation,binary,16,14,2,Logistic Reg,0.03559633611137624,"(67118947001898.953, 13639542026.472)",0.5357142857142857,0.8063720877647993,,
is_ostial_lesion,binary,16,14,2,Logistic Reg,0.75,"(63.963, 14.576)",0.5357142857142857,0.8492805110939678,,
has_previous_mi,binary,16,14,2,Logistic Reg,0.7500000000000007,"(63.963, 14.576)",0.5357142857142857,0.8492805110939684,,
has_hypertension,binary,16,14,2,Logistic Reg,1.5777849463991178e-08,"(inf, inf)",0.6071428571428571,0.9986702744188909,,
has_prior_pci,binary,16,14,2,Logistic Reg,1.5777849557845274e-08,"(inf, inf)",0.6071428571428571,0.9986702744193312,,
has_prior_cabg,binary,16,14,2,Logistic Reg,1.1723088226663868e-11,"(106.465, inf)",0.75,0.9997427241620579,,
used_opn_balloon,binary,16,14,2,Logistic Reg,937304719.5582422,"(28.804, inf)",0.5357142857142857,0.9997888251985282,,
has_diabetes,binary,16,14,2,Logistic Reg,1.5474453277850528e-11,"(inf, inf)",0.8571428571428572,0.9998253022778202,,
is_female,binary,16,14,2,Logistic Reg,28721198253.817665,"(20.827, inf)",0.6785714285714286,0.9998804944302117,,
has_hyperlipidemia,binary,16,14,2,Logistic Reg,4.5330610764174585e-11,"(inf, inf)",0.6428571428571428,0.9998855626958294,,
dcb_drug,binary,14,12,2,Logistic Reg,2.3166744902529264e-11,"(inf, inf)",0.6666666666666666,0.9999059565798225,,
dcb_inflation_max_time,continuous,14,14,0,Logistic Reg,1.3675448428078596,"(inf, inf)",,0.9999998617275236,,
