Predictor,Type,N,Test,Coefficient,SE,95% CI,R²,P-value,Significant,Effect
dcb_inflation_max_time,continuous,35,Linear Reg,0.010726686709460751,0.00418121751637905,"(0.0022, 0.0192)",0.16627742557550862,0.015035107297888947,*,
has_prior_cabg,binary,59,Linear Reg,-0.4373684210526314,0.28019246851052376,"(-0.9984, 0.1237)",0.04099473348801719,0.12406937618684441,,
syntax_score,continuous,33,Linear Reg,-0.007817344252705475,0.005799085149135054,"(-0.0196, 0.0040)",0.05537301338291212,0.18741711157451557,,
dcb_drug,binary,57,Linear Reg,-0.15980769230769226,0.12548428486646188,"(-0.4113, 0.0917)",0.02864392010508121,0.2081869400028379,,
calcification,continuous,34,Linear Reg,-0.09647887323943657,0.07546003683328356,"(-0.2502, 0.0572)",0.04860077927487427,0.21025368724000498,,
used_cutting_balloon,binary,59,Linear Reg,-0.1423949579831933,0.11276066003255157,"(-0.3682, 0.0834)",0.027215467924961656,0.211800194790857,,
used_shockwave,binary,59,Linear Reg,-0.28363095238095243,0.23267809563939784,"(-0.7496, 0.1823)",0.025406503382740864,0.2278709021136557,,
dcb_max_pressure,continuous,49,Linear Reg,-0.016051575356211115,0.01418209375051436,"(-0.0446, 0.0125)",0.02653250273804253,0.26345193197966066,,
dcb_diam_to_vessel,continuous,59,Linear Reg,0.1792231192503049,0.16483830508121763,"(-0.1509, 0.5093)",0.02031805040133039,0.2814955147319348,,
estimated_gfr,continuous,29,Linear Reg,-0.0049307963994993115,0.004492648291343422,"(-0.0141, 0.0043)",0.04270806869271726,0.28210366120146485,,
is_cto,binary,59,Linear Reg,-0.11068181818181821,0.11800504737646433,"(-0.3470, 0.1256)",0.01519934508663745,0.352231977747425,,
dcb_lenght_to_vessel,continuous,16,Linear Reg,0.1896561808897205,0.2215906325635374,"(-0.2856, 0.6649)",0.049722571990451936,0.4064718499838057,,
age,continuous,59,Linear Reg,0.005148055871450518,0.006327956525596425,"(-0.0075, 0.0178)",0.011478125214117951,0.4192930816380044,,
has_lesion_preparation,binary,59,Linear Reg,-0.10085164835164848,0.15956260340895073,"(-0.4204, 0.2187)",0.006959783910527428,0.5298808523255233,,
used_opn_balloon,binary,59,Linear Reg,0.2517241379310346,0.39974123041849646,"(-0.5487, 1.0522)",0.006908855164842298,0.531395456207374,,
clinical_presentation,categorical,59,ANOVA,,,,,0.5639497769581191,,F=0.69
planned_dapt_duration,continuous,41,Linear Reg,-0.011737394647345835,0.020284479663788817,"(-0.0528, 0.0293)",0.008512134305521224,0.5661596083209892,,
has_previous_mi,binary,59,Linear Reg,-0.06420634920634917,0.1214130409617661,"(-0.3073, 0.1789)",0.00488230462090844,0.5989796108145375,,
has_hyperlipidemia,binary,59,Linear Reg,-0.05710027100271007,0.11219816210612385,"(-0.2818, 0.1676)",0.0045233591440834164,0.6127703391640964,,
has_hypertension,binary,59,Linear Reg,-0.05070048309178751,0.10595284945747147,"(-0.2629, 0.1615)",0.004001132209908942,0.6341110690376743,,
predilatation_diam_to_vessel,continuous,57,Linear Reg,-0.05204766567332657,0.13561017350354554,"(-0.3238, 0.2197)",0.0026711216925192627,0.7026037964505922,,
left_ventricular_ejection_fraction,continuous,34,Linear Reg,-0.001555325749741466,0.006353710199800464,"(-0.0145, 0.0114)",0.0018690695205987318,0.8081818657196074,,
p2y12_inhibitor,categorical,50,ANOVA,,,,,0.8636026588431195,,F=0.25
has_diabetes,binary,59,Linear Reg,-0.014926289926289936,0.10705627827009372,"(-0.2293, 0.1995)",0.00034092317263134664,0.8896060232711165,,
is_female,binary,59,Linear Reg,-0.015100334448160554,0.12490853826697987,"(-0.2652, 0.2350)",0.0002563319179154089,0.9042024185557852,,
used_scoring_balloon,binary,59,Linear Reg,0.03359649122807019,0.28608390739101824,"(-0.5393, 0.6065)",0.00024189175582600697,0.9069275545233133,,
is_ostial_lesion,binary,59,Linear Reg,-0.01151620370370373,0.10391894655527671,"(-0.2196, 0.1966)",0.00021540748462145487,0.9121490911419687,,
has_prior_pci,binary,59,Linear Reg,0.005206349206349131,0.12170856480656496,"(-0.2385, 0.2489)",3.210225264493882e-05,0.966028654013446,,
used_rotablator,binary,59,Linear Reg,0.0,0.0,"(0.0000, 0.0000)",0.0,,,
