Predictor,Type,N,Test,Coefficient,SE,95% CI,R²,P-value,Significant,Effect
dcb_diam_to_vessel,continuous,59,Linear Reg,0.7201597526655932,0.2016516571840023,"(0.3164, 1.1240)",0.18284520641367963,0.0007301032416337208,***,
predilatation_diam_to_vessel,continuous,57,Linear Reg,0.5199050594165557,0.17349162663916876,"(0.1722, 0.8676)",0.14036044899451972,0.004088706077552673,**,
is_female,binary,59,Linear Reg,-0.4218227424749167,0.15772985509413137,"(-0.7377, -0.1060)",0.11148628716370446,0.009753141876609505,**,
dcb_max_pressure,continuous,49,Linear Reg,-0.04148404575556893,0.0217077921931682,"(-0.0852, 0.0022)",0.07209983830467626,0.06211165477729494,,
used_cutting_balloon,binary,59,Linear Reg,0.274327731092437,0.14876494736949641,"(-0.0236, 0.5722)",0.056298642284967615,0.07037766004127015,,
is_ostial_lesion,binary,59,Linear Reg,-0.23436342592592574,0.13570653485467532,"(-0.5061, 0.0374)",0.04972258568209642,0.08958605855857564,,
dcb_drug,binary,57,Linear Reg,0.270874125874126,0.16638378904048692,"(-0.0626, 0.6043)",0.045973823760669164,0.10923891858144445,,
clinical_presentation,categorical,59,ANOVA,,,,,0.11766499489292084,,F=2.05
has_diabetes,binary,59,Linear Reg,-0.212088452088452,0.14064544961782185,"(-0.4937, 0.0695)",0.03836354542353715,0.13708642890246847,,
dcb_inflation_max_time,continuous,35,Linear Reg,-0.00962893746106553,0.006392576159579918,"(-0.0226, 0.0034)",0.06433001721921328,0.14151162692436936,,
left_ventricular_ejection_fraction,continuous,34,Linear Reg,-0.011691387206382041,0.00801299344265981,"(-0.0280, 0.0046)",0.062376502218895014,0.15429751134259942,,
has_previous_mi,binary,59,Linear Reg,0.20541269841269832,0.16074162766136554,"(-0.1165, 0.5273)",0.027851937470728227,0.20646243641353026,,
has_prior_cabg,binary,59,Linear Reg,0.4800877192982451,0.3779358655726125,"(-0.2767, 1.2369)",0.02753000761215174,0.20914258508690986,,
used_scoring_balloon,binary,59,Linear Reg,0.43868421052631534,0.3788177577713192,"(-0.3199, 1.1973)",0.022986303905932037,0.2516790429864932,,
estimated_gfr,continuous,29,Linear Reg,0.006928851044830863,0.005943214072693954,"(-0.0053, 0.0191)",0.04792762437152476,0.2538739697139025,,
has_hypertension,binary,59,Linear Reg,0.09956521739130411,0.1415929680332126,"(-0.1840, 0.3831)",0.0086001478192832,0.48480647090314066,,
used_shockwave,binary,59,Linear Reg,-0.11714285714285638,0.3153208157601603,"(-0.7486, 0.5143)",0.002415467469651267,0.7116397907295776,,
has_lesion_preparation,binary,59,Linear Reg,0.07752747252747227,0.21423153391065392,"(-0.3515, 0.5065)",0.0022923077448105955,0.7187751093113689,,
is_cto,binary,59,Linear Reg,-0.05701515151515152,0.15910058539976438,"(-0.3756, 0.2616)",0.002247940374614066,0.7213983865426611,,
planned_dapt_duration,continuous,41,Linear Reg,0.010099807777613474,0.02888699941559198,"(-0.0483, 0.0685)",0.003124622913459718,0.7284962041874222,,
has_hyperlipidemia,binary,59,Linear Reg,0.05047425474254742,0.1504790551453502,"(-0.2509, 0.3518)",0.0019699557858990913,0.7385368584310985,,
syntax_score,continuous,33,Linear Reg,0.002584820122842924,0.008538002464294266,"(-0.0148, 0.0200)",0.0029478425555783394,0.7641079669139674,,
calcification,continuous,34,Linear Reg,-0.030563380281690172,0.1052673472946404,"(-0.2450, 0.1839)",0.002627379915742245,0.7734290108215616,,
dcb_lenght_to_vessel,continuous,16,Linear Reg,0.09844244456666656,0.35234784006654635,"(-0.6573, 0.8542)",0.005544709269628134,0.7840306710583287,,
age,continuous,59,Linear Reg,0.001991483857526081,0.00852111450937715,"(-0.0151, 0.0191)",0.0009573482593955296,0.8160461846907188,,
used_opn_balloon,binary,59,Linear Reg,-0.0825862068965521,0.5371906071007004,"(-1.1583, 0.9931)",0.0004144797523547572,0.8783599218159446,,
p2y12_inhibitor,categorical,50,ANOVA,,,,,0.9207644188278442,,F=0.16
has_prior_pci,binary,59,Linear Reg,0.010920634920635441,0.16302156544489535,"(-0.3155, 0.3374)",7.872208960968408e-05,0.9468249653895977,,
used_rotablator,binary,59,Linear Reg,0.0,0.0,"(0.0000, 0.0000)",2.220446049250313e-16,,,
