Predictor,Type,N,Test,Coefficient,SE,95% CI,R²,P-value,Significant,Effect
dcb_inflation_max_time,continuous,14,Linear Reg,0.037427223938851846,0.0020704074516082896,"(0.0329, 0.0419)",0.964579421407799,4.5242239020201526e-10,***,
used_cutting_balloon,binary,17,Linear Reg,-0.8641666666666663,0.37187506613756016,"(-1.6568, -0.0715)",0.26470908238760005,0.03459287827363515,*,
has_prior_cabg,binary,17,Linear Reg,-1.551250000000001,0.7381479498266822,"(-3.1246, 0.0221)",0.22746058049613338,0.052901387717206386,,
has_diabetes,binary,17,Linear Reg,-0.7091428571428574,0.35732757889569045,"(-1.4708, 0.0525)",0.20796395931075062,0.06579564030528764,,
has_hyperlipidemia,binary,17,Linear Reg,-0.7083333333333334,0.3932271513929228,"(-1.5465, 0.1298)",0.1778480800776675,0.09178341717487051,,
age,continuous,17,Linear Reg,0.03665772432932473,0.020793411926022257,"(-0.0077, 0.0810)",0.17163634711591025,0.09826460374191989,,
has_lesion_preparation,binary,17,Linear Reg,-1.3174999999999988,0.767832718326937,"(-2.9541, 0.3191)",0.16407552475645282,0.1067611599095667,,
has_prior_pci,binary,17,Linear Reg,-0.7973809523809526,0.4757028415929656,"(-1.8113, 0.2166)",0.15776242605106738,0.11440795262444028,,
dcb_max_pressure,continuous,15,Linear Reg,-0.07527227722772278,0.056778051686995124,"(-0.1979, 0.0474)",0.11909532186247529,0.20775464122260953,,
used_opn_balloon,binary,17,Linear Reg,0.9562500000000005,0.802699546841781,"(-0.7547, 2.6672)",0.08643416691774641,0.2520483047172756,,
dcb_drug,binary,15,Linear Reg,-0.5550000000000003,0.4870338007540371,"(-1.6072, 0.4972)",0.09081862810136654,0.2750355272389276,,
is_female,binary,17,Linear Reg,0.45333333333333337,0.4175834358854837,"(-0.4367, 1.3434)",0.07284657359981239,0.2947904882028403,,
dcb_diam_to_vessel,continuous,17,Linear Reg,0.5117833029027041,0.6404486222850589,"(-0.8533, 1.8769)",0.04083257748206226,0.436702990554237,,
has_hypertension,binary,17,Linear Reg,-0.3723809523809517,0.5093490428653774,"(-1.4580, 0.7133)",0.034406997709197196,0.47598924537571485,,
is_cto,binary,17,Linear Reg,-0.3173333333333338,0.6078157371855148,"(-1.6129, 0.9782)",0.017847410531954266,0.6092332586665234,,
predilatation_diam_to_vessel,continuous,17,Linear Reg,0.3360765296981032,0.7181204520233875,"(-1.1946, 1.8667)",0.014391137343370164,0.6465159762630667,,
planned_dapt_duration,continuous,13,Linear Reg,-0.027536312849161946,0.06738605496119622,"(-0.1759, 0.1208)",0.014953252500189862,0.6906498493468289,,
is_ostial_lesion,binary,17,Linear Reg,-0.14571428571428563,0.39974124283652535,"(-0.9977, 0.7063)",0.00878061378212025,0.7205563937966222,,
clinical_presentation,categorical,17,ANOVA,,,,,0.7495167959785078,,F=0.29
p2y12_inhibitor,categorical,17,ANOVA,,,,,0.7905691296888588,,F=0.24
syntax_score,continuous,12,Linear Reg,-0.00975817923186345,0.03661156470369097,"(-0.0913, 0.0718)",0.007053857695530241,0.7952442586006115,,
left_ventricular_ejection_fraction,continuous,13,Linear Reg,-0.002259281617868961,0.020332748572676255,"(-0.0470, 0.0425)",0.0011211628109255578,0.9135263572397068,,
has_previous_mi,binary,17,Linear Reg,-0.041285714285714314,0.40136633816871853,"(-0.8968, 0.8142)",0.0007048881619534653,0.9194343571041048,,
used_scoring_balloon,binary,17,Linear Reg,0.0,0.0,"(0.0000, 0.0000)",0.0,,,
used_rotablator,binary,17,Linear Reg,0.0,0.0,"(0.0000, 0.0000)",0.0,,,
used_shockwave,binary,17,Linear Reg,0.0,0.0,"(0.0000, 0.0000)",0.0,,,
