Predictor,Type,N,Test,Coefficient,SE,95% CI,R²,P-value,Significant,Effect
used_cutting_balloon,binary,16,Linear Reg,-59.5,18.11537100549328,"(-98.3536, -20.6464)",0.435209752599498,0.005427065995456787,**,
dcb_inflation_max_time,continuous,14,Linear Reg,1.1559603187510163,0.41900224771439293,"(0.2430, 2.0689)",0.3881047633877577,0.017316329256438116,*,
has_diabetes,binary,16,Linear Reg,-40.86666666666667,18.588748943960358,"(-80.7356, -0.9978)",0.25663337260325425,0.045230449713502256,*,
has_prior_cabg,binary,16,Linear Reg,-78.26666666666665,37.70656967725116,"(-159.1392, 2.6059)",0.23532517201932757,0.0568295323928111,,
has_hyperlipidemia,binary,16,Linear Reg,-40.83333333333334,21.492892882170246,"(-86.9310, 5.2643)",0.204971913469583,0.07824892079234241,,
syntax_score,continuous,11,Linear Reg,-2.7987381703470033,1.415174818531621,"(-6.0001, 0.4026)",0.30292803346816577,0.07935763727537838,,
has_hypertension,binary,16,Linear Reg,-33.99999999999997,25.150681433248998,"(-87.9428, 19.9428)",0.11546381191415256,0.19786033617918758,,
used_opn_balloon,binary,16,Linear Reg,52.93333333333334,40.73321642879334,"(-34.4307, 140.2974)",0.10763987775102879,0.21476010238542856,,
has_previous_mi,binary,16,Linear Reg,-24.28571428571429,20.01424824506358,"(-67.2120, 18.6406)",0.09516248234682911,0.2450445025941712,,
has_prior_pci,binary,16,Linear Reg,-28.666666666666686,25.620885863486315,"(-83.6180, 26.2847)",0.08208096433266754,0.28202254648157693,,
dcb_drug,binary,14,Linear Reg,-26.2,24.588886378470534,"(-79.7746, 27.3746)",0.08643380593820005,0.30760961955495575,,
has_lesion_preparation,binary,16,Linear Reg,-42.26666666666665,41.614039145080056,"(-131.5199, 46.9866)",0.06862947975891676,0.32701291590461024,,
planned_dapt_duration,continuous,12,Linear Reg,-3.352941176470587,3.3101799273989347,"(-10.7285, 4.0226)",0.0930530381450766,0.33497986304939376,,
predilatation_diam_to_vessel,continuous,16,Linear Reg,-32.72635468411463,36.03548011238097,"(-110.0148, 44.5621)",0.055634805867679105,0.3791561864897973,,
is_female,binary,16,Linear Reg,18.36363636363637,21.97734155699076,"(-28.7731, 65.5003)",0.04750108263912489,0.417428758260148,,
dcb_max_pressure,continuous,14,Linear Reg,2.300000000000003,3.05950250131546,"(-4.3661, 8.9661)",0.044976618959897796,0.4666868368919509,,
is_cto,binary,16,Linear Reg,-13.571428571428562,31.3514824513139,"(-80.8137, 53.6708)",0.013207864716341833,0.6716963532363824,,
clinical_presentation,categorical,16,ANOVA,,,,,0.6941182253659128,,F=0.38
age,continuous,16,Linear Reg,0.45741324921135984,1.1660872529500699,"(-2.0436, 2.9584)",0.0108712671020883,0.7007705148855197,,
is_ostial_lesion,binary,16,Linear Reg,-7.015873015873018,20.95668202950847,"(-51.9635, 37.9317)",0.007941955316846383,0.7427541980841772,,
dcb_diam_to_vessel,continuous,16,Linear Reg,-11.142219425292264,33.474129494317154,"(-82.9371, 60.6526)",0.007851873800240994,0.7441715413165256,,
left_ventricular_ejection_fraction,continuous,13,Linear Reg,-0.31426702887614405,1.0428375023028713,"(-2.6095, 1.9810)",0.008188433780131898,0.7687621902128714,,
p2y12_inhibitor,categorical,16,ANOVA,,,,,0.8034925074964807,,F=0.22
used_scoring_balloon,binary,16,Linear Reg,0.0,0.0,"(0.0000, 0.0000)",0.0,,,
used_rotablator,binary,16,Linear Reg,0.0,0.0,"(0.0000, 0.0000)",0.0,,,
used_shockwave,binary,16,Linear Reg,0.0,0.0,"(0.0000, 0.0000)",0.0,,,
